card,ranking,rating,usage,usage_delta,win,win_delta,cwr
rage,0.32388399926964595,0.32388399926964595,0.07424192759179292,0.07000000000000028,43.656684583226685,-0.20313675769802586, 0.43146787088450106
elixir-collector,0.3043093330945234,0.3043093330945234,0.02502600937762766,0.10000000000000009,42.71703366236396,1.4401092652130103, 0.42529854620976115
elite-barbarians,0.6418511669264462,0.6418511669264462,0.08102891039314145,0.049999999999998934,55.774868086769594,-0.02746181621520094, 0.5628309550645428
royal-recruits,0.6090330316575986,0.6090330316575986,0.04625314527405254,0.14999999999999947,54.82899106439796,-0.1831945244188944, 0.5506335929927846
pekka,0.5868552749104297,0.5868552749104297,0.08180325350790099,-0.20000000000000107,53.6518322073598,0.06981791619892164, 0.5397718887694222
lumberjack,0.5624859599631032,0.5624859599631032,0.07465522729108175,0.10999999999999943,52.764874323894375,-0.1551150248365829, 0.5298796561604584
mini-pekka,0.5458798200653661,0.5458798200653661,0.08269952795156951,-0.11000000000000121,52.11871708951652,-0.06680956639996793, 0.5230868784703377
goblin-cage,0.5000926115126315,0.5000926115126315,0.0397211097967864,0.0,50.669749641205556,0.0549369446084782, 0.5069539585668618
barbarians,0.4257827184065709,0.4257827184065709,0.0288312169538387,-0.010000000000000231,47.8936672708299,0.1754841541322847, 0.4782829996606719
bomb-tower,0.4128612975359834,0.4128612975359834,0.050204037035453515,0.07999999999999918,47.24325006308352,0.2766202657255903, 0.4709750265674814
furnace,0.407582922083884,0.407582922083884,0.040248423206223884,0.009999999999999787,47.08266121100051,-0.18665650375493215, 0.4695826842666229
cannon,0.3948389780266493,0.3948389780266493,0.06468219470057941,0.10999999999999943,46.50525130364531,0.30823269831513045, 0.46262171500366456
barbarian-hut,0.3714023301694905,0.3714023301694905,0.011037160551889698,-0.010000000000000009,45.98278335724534,0.8654690662317037, 0.45930654286957784
tesla,0.3473897678084254,0.3473897678084254,0.06935834034042594,-0.02999999999999936,44.61643835616439,0.3845019506753644, 0.4421520043177469
inferno-tower,0.3191217807377445,0.3191217807377445,0.05788254370921437,-0.009999999999999787,43.41093754274615,-0.7757703617669094, 0.4300606905363417
goblin-hut,0.31216205124700264,0.31216205124700264,0.0220204812962092,-0.05999999999999961,43.15403422982885,-0.0492081764738046, 0.4299580851533201
prince,0.6701436313506843,0.6701436313506843,0.10729006829737943,0.11000000000000121,56.6711928447029,-0.056373032313715044, 0.5747305072415846
knight,0.5430270385291401,0.5430270385291401,0.09524737016292877,-0.08999999999999986,51.94433822673694,0.33842520564659395, 0.5214906558371157
dark-prince,0.5423007446810509,0.5423007446810509,0.08152772037504176,-0.03999999999999915,51.97824609109449,0.22537288959903634, 0.5215386892803519
rascals,0.5398449536060831,0.5398449536060831,0.038196176423548264,0.020000000000000018,52.178599560548896,0.08145732432158326, 0.5226518384413121
valkyrie,0.49874682624393235,0.49874682624393235,0.11253628248796918,-0.15000000000000036,50.29901360687802,-0.2932029751862757, 0.5033693256591987
royal-ghost,0.4920320067727236,0.4920320067727236,0.07375420227615705,-0.020000000000000462,50.14385091034009,-0.4652762397254193, 0.5015530829856282
goblin-machine,0.4779887473935992,0.4779887473935992,0.03769261587039175,0.0,49.78364071755661,0.13945416183074855, 0.49775158262388125
fisherman,0.37397643296299843,0.37397643296299843,0.05907335357076689,0.10000000000000053,45.68556493767591,0.34986648978234314, 0.45414660550981456
battle-healer,0.3724999350255909,0.3724999350255909,0.0462547287978046,-0.04999999999999982,45.59739815131804,-0.3624316434214734, 0.4538373178261182
ice-golem,0.3423376944982665,0.3423376944982665,0.044710793139541696,0.009999999999999787,44.37400389587391,0.36207629364557903, 0.44108705324039743
miner,0.23538850498300506,0.23538850498300506,0.053645034148689714,-0.04999999999999982,39.40431561236237,-0.235925498579185, 0.38803456127764435
goblin-gang,0.5871841656480893,0.5871841656480893,0.12090995608888636,-0.040000000000000924,53.416279222054875,-0.09282822284571779, 0.5388546229254194
guards,0.5292738571381023,0.5292738571381023,0.10335817882100322,0.129999999999999,51.4164023839071,-0.03140974379114425, 0.5157883945048185
goblins,0.5127258034181416,0.5127258034181416,0.042946747679741826,-0.04999999999999982,51.122746211422886,0.5859546100737774, 0.5117121282169825
skeleton-barrel,0.48360324898599294,0.48360324898599294,0.06905747082753368,-0.009999999999999787,49.85324466865398,0.14324451955379658, 0.4984235676634317
skeleton-army,0.4736944700560979,0.4736944700560979,0.08564646565416158,-0.28999999999999915,49.44902562585512,0.06799331364362615, 0.4939639657856955
tombstone,0.4618190989836029,0.4618190989836029,0.06632905940272651,-0.009999999999999787,49.048630840117454,-0.19784989120752527, 0.48979748389076405
ice-spirit,0.4434569116784397,0.4434569116784397,0.0851096511022117,0.1999999999999993,48.33572106350122,-0.12631351591485185, 0.4817985845603189
skeletons,0.4380109319173059,0.4380109319173059,0.05759275886258656,0.009999999999999787,48.17706901292274,0.13382848299319505, 0.4806418672501824
fire-spirit,0.41123467401394387,0.41123467401394387,0.04647958917059777,0.0,47.16544017443445,0.06855160072644395, 0.4702540465215993
electro-spirit,0.4110905782454753,0.4110905782454753,0.05323173444940087,0.040000000000000036,47.156116135173725,-0.32787824333970406, 0.4699616665619305
heal-spirit,0.4070726389609652,0.4070726389609652,0.019084628259881584,0.04999999999999982,47.23697311649519,0.42622221596873544, 0.47178749682767956
